                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 2.7135,                 1.5335,                0.87257,                0.64513,                0.43202,                0.45347,                0.13333,                 2.3973,                 1.3591,                0.76555,              0.0012872,              0.0012872,              0.0012872
                     38,                  2.815,                 1.6549,                0.88875,                0.75615,                0.40594,                0.46848,                0.15478,                 2.4726,                 1.6868,                0.81468,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.7781,                 1.5941,                0.85575,                0.63225,                0.45545,                0.50767,                0.14728,                  2.467,                 1.8822,                0.79276,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.6164,                 1.3888,                0.87262,                0.68691,                0.36634,                 0.4145,                0.12991,                 2.4295,                 1.5962,                0.82234,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.8458,                 1.5158,                0.89117,                0.67992,                0.35755,                0.42737,                0.14071,                 2.5188,                  1.389,                0.80737,               0.001208,               0.001208,               0.001208
                     42,                 2.5942,                 1.5201,                0.86623,                0.68427,                0.44554,                0.42852,                0.11509,                 2.2972,                 1.4728,                0.79527,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.5948,                 1.4072,                0.87751,                0.45132,                0.30693,                 0.2617,                0.05532,                 2.7183,                 1.9917,                0.82554,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.6922,                 1.4664,                0.85249,                0.59707,                0.42574,                0.46584,                0.13259,                    2.4,                 1.6867,                0.80586,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.5954,                 1.4481,                0.87979,                0.68225,                0.44646,                0.52423,                0.18113,                 2.1744,                 1.3642,                0.80338,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.4909,                  1.339,                0.87857,                0.82445,                0.51485,                0.56019,                0.18486,                 2.3066,                 1.4142,                0.81431,               0.001109,               0.001109,               0.001109
                     47,                   2.51,                 1.3772,                0.85662,                0.58605,                0.39604,                 0.4292,                0.12985,                 2.3527,                 1.4681,                0.81149,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.5032,                 1.3319,                0.85028,                 0.6756,                0.40594,                0.44979,                0.17287,                 2.3255,                  1.334,                0.80863,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.4267,                 1.3934,                 0.8488,                0.77615,                0.52475,                0.55597,                0.14893,                 2.6256,                 1.3178,                0.81511,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.4756,                 1.3513,                0.85605,                0.74122,                0.48515,                0.53234,                0.17903,                 2.3832,                 1.2585,                0.81264,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.4351,                 1.2543,                0.85548,                0.72498,                0.44554,                 0.5191,                0.17088,                 2.4891,                 1.2327,                0.81677,                0.00101,                0.00101,                0.00101
                     52,                 2.5455,                 1.3537,                0.84828,                0.72764,                0.39679,                0.46357,                0.14084,                 2.3223,                 1.7343,                0.79501,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.3574,                 1.3123,                0.85683,                0.56929,                0.38614,                0.46867,                0.15531,                 2.3333,                 1.7687,                0.79332,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.3636,                  1.265,                0.84284,                0.71424,                0.44554,                0.52502,                0.14932,                 2.4868,                 1.6568,                0.80307,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.4108,                  1.288,                0.85571,                0.59765,                0.50007,                0.53548,                0.20295,                 1.9881,                 1.4198,                0.79338,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.4031,                 1.2895,                0.85292,                0.72619,                0.55147,                0.57449,                0.22147,                 2.0218,                 1.1604,                0.79204,               0.000911,               0.000911,               0.000911
                     57,                 2.3728,                  1.253,                 0.8522,                0.69811,                0.45545,                0.50417,                0.17499,                 2.3893,                 1.2325,                0.79792,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.4241,                 1.2308,                0.84744,                0.60095,                0.47525,                0.51341,                0.17109,                 2.1992,                 1.2277,                0.75024,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.3947,                 1.2339,                0.83963,                0.71622,                0.55446,                0.58621,                0.21515,                  2.061,                 1.1362,                0.78151,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.4196,                 1.2139,                0.86834,                0.58763,                0.37624,                0.44134,                0.12357,                 2.4751,                 1.3504,                0.79198,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.3054,                 1.1621,                0.83921,                0.59603,                0.39445,                 0.4977,                0.18142,                 2.3124,                 1.5196,                0.79627,               0.000812,               0.000812,               0.000812
                     62,                 2.2649,                 1.1701,                0.84243,                0.58554,                0.47525,                0.48506,                0.20598,                 2.2431,                 1.3871,                0.80215,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.2952,                 1.1823,                0.84197,                 0.6263,                0.48515,                0.51238,                 0.1909,                 2.3358,                 1.3707,                0.79921,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.1919,                 1.0972,                0.83424,                0.74537,                0.49273,                0.56328,                0.19891,                 2.3707,                 1.1697,                0.80594,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.4302,                 1.1473,                0.86114,                0.65576,                0.45545,                0.50904,                0.16842,                 2.5769,                 1.3425,                0.81117,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.3225,                 1.1119,                0.86244,                0.71907,                0.48155,                0.54181,                0.19915,                 2.3873,                 1.1846,                0.80067,               0.000713,               0.000713,               0.000713
                     67,                 2.2335,                 1.0874,                0.86303,                0.76604,                0.55115,                0.60584,                0.22012,                 2.4387,                 1.1739,                0.81601,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.3041,                 1.1378,                0.84277,                0.78221,                0.57426,                0.62937,                0.23492,                 2.2107,                  1.114,                  0.798,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.2985,                 1.0757,                0.85015,                 0.8469,                0.52475,                0.61761,                0.21911,                 2.2578,                  1.087,                0.79736,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.2804,                 1.1065,                0.86435,                0.80561,                0.49243,                0.58332,                 0.2234,                 2.2521,                 1.2104,                0.79708,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.2661,                 1.1388,                0.84777,                0.75545,                0.52475,                0.60851,                0.22229,                 2.3121,                 1.1747,                0.80493,               0.000614,               0.000614,               0.000614
